Reference,Label
Al-Abrasyi. (1987). al-Tarbiyyah al-Islamiyyah Dasar-dasar Pokok Pendidikan Islam. Terj. Oleh Bustami A.Ghani. dan Djohar Bahry. Jakarta: Bulan Bintang.,Buku
"Alavi. (2007). “Al-Ghazali on Moral Education”, dalam Jurnal of Moral Education.Vol. 36, No. 3, September 2007, pp. 309-319. ISSN 1465-3877  2007 (online)/07/030309-11. London: Routledge Publisher.",Jurnal
"Alpiyanto. (2014).  Aplikasi Pendidikan Karakter & Pembelajaran yang mencerdaskan Berbasis Hati Nurani,  Yogyakarta: Ar-Ruzz Media.",Buku
"Koesoema, Doni. (2014). Pendidikan Karakter Utuh Dan Menyeluruh. Yogyakarta: Kanisius",Buku
"Moleong, Lexy J. (2001). Metode Penelitian Kualitatif. Bandung: Remaja Rosdakarya.",Buku
Mulyasa. (2014). Manajemen Pendidikan Karakter. Jakarta: Bumi Aksara.,Buku
"Muslich, Masnur. (2013). Pendidikan Karakter: Menjawab Tantangan Krisis Multidimensional. Jakarta: PT Bumi Aksara.",Buku
"Sudjana, Nana. (1999). Penilaian Hasil Proses Belajar Mengajar. Bandung: Remaja Roesdakarya",Buku
Sugiyono. (2009). Metode Penelitian Pendidikan. Bandung: Alfabeta.,Buku
Suparlan. (2015). Mendidik hati membentuk karakter. Yogyakarta:Pustaka Pelajar.,Buku
"Wiyani, Novan Ardy. (2012). Pendidikan Karakter Berbasis Iman dan Taqwa. Yogyakarta: SUKSES Offset.",Buku
"Matthews, J. (1999). The art of childhood and adolescence: The construction of meaning. London, England: Falmer Press.",Buku
"Colclough, B., & Colclough, J. (1999). A challenge to change. London, England: Thorsons.",Buku
"Rosenthal, R., Rosnow, R. L., & Rubin, D. B. (2000). Contrasts and effect sizes in behavioral research: A correlational approach. Cambridge, England: Cambridge University Press.",Buku
"Snyder, C. R. (Ed.). (1999). Coping: The psychology of what works. New York, NY: Oxford University Press.",Buku
"Newcomb, H. (Ed.). (2000). Television: The critical view (6th ed.). New York, NY: Oxford University Press.",Buku
"The Blackwell dictionary of cognitive psychology. (1991). Oxford, England: Blackwell.",Buku
"Mandl, H., et al. (Eds.). (n.d.). Learning and instruction: European research in an international context. (Vol. 2). Oxford, England: Pergamon.",Buku
"Kubler-Ross, E. (1993a). AIDS: The ultimate challenge. New York, NY: Collier Books.",Buku
"Kubler-Ross, E. (1993b). Questions and answers on death and dying. New York, NY: Collier Books.",Buku
"Russell, B. (1967). The autobiography of Bertrand Russell (Vols. 1-3). London, England: Allen & Unwin.",Buku
"Bonino S., Cattelino E., & Ciairano, S. (2005). Adolescents and risk: Behavior, functions, and protective factors. (L. McDonald, Trans.). Milan, Italy : Springer. (Original work published 2003).",Buku
"American Educational Research Association. (1985). Standards for educational and psychological testing. Washington, DC: American Psychological Association.",Buku
"Australian Institute of Health and Welfare. (1999). Australia's young people: Their health and wellbeing, the report on the health of young people aged 12-24 years. Canberra, ACT: AIHW.",Buku
"Australia. Department of Health and Aged Care. (1999). Mental health: A report focusing on depression, 1998. Canberra, ACT: AGPS.",Buku
"Western Australia. Office of Citizenship and Multicultural Interests. (2000). 2000 migrant services directory: A Western Australian guide for migrants and service providers. Perth, WA: Office of Citizenship and Multicultural Interests.",Buku
"Friese, C., Hofmann, W., & Wanke, M. (2003). The impulsive consumer: Predicting consumer behavior with implicit reaction time measures. In M. Wanke (Ed.), Social psychology of consumer behavior (pp. 335-364). New York, NY: Psychology Press.",Buku
"Hine, C. (2001). Ethnography in the laboratory. In D. N. Gellner & E. Hirsch (Eds.), Inside organizations: Anthropologists at work (pp. 61-76). Oxford, England: Berg.",Buku
"Hine, C. (2001). Ethnography in the laboratory. In D. N. Gellner & E. Hirsch (Eds.), Inside organizations: Anthropologists at work (pp. 61-76). Oxford, England: Berg.",Buku
"Ford-Martin, P. (2003). Cognitive-behavioral therapy. In E. Thackery & M. Harris (Eds.), Gale encyclopedia of mental disorders (Vol. 1, pp. 226-228). Detroit, MI: Gale.",Buku
"Mental disorders and their treatment. (1987). In The new encyclopaedia Britannica (5th ed., Vol. 23, pp. 956-975). Chicago, IL: Encyclopaedia Britannica.",Buku
"W.-K. Chen, Linear Networks and Systems. Belmont, CA: Wadsworth, 1993, pp. 123-135.",Buku
"S. M. Hemmington, Soft Science. Saskatoon: University of Saskatchewan Press, 1997.",Buku
"D. Sarunyagate, Ed., Lasers. New York: McGraw-Hill, 1996.",Buku
"T. Jordan and P. A. Taylor, Hacktivism and Cyberwars: Rebels with a cause? London: Routledge, 2004.",Buku
"U. J. Gelinas, Jr., S. G. Sutton, and J. Fedorowicz, Business Processes and Information Technology. Cincinnati: South-Western/Thomson Learning, 2004.",Buku
"R. Hayes, G. Pisano, D. Upton, and S. Wheelwright, Operations, Strategy, and Technology: Pursuing the competitive edge. Hoboken, NJ: Wiley, 2005.",Buku
"K. Schwalbe, Information Technology Project Management, 3rd ed. Boston: Course Technology, 2004.",Buku
"M. N. DeMers, Fundamentals of Geographic Information Systems, 3rd ed. New York: John Wiley, 2005.",Buku
"The Oxford Dictionary of Computing, 5th ed. Oxford: Oxford University Press, 2003.",Buku
"J. Voogt and G. Knezek, Eds., International Handbook of Information Technology in Primary and Secondary Education, 9th ed., 2 Vols. Philadelphia: Lea & Febiger, 1993.",Buku
"M. Bell, et al., Universities Online: A survey of online education and services in Australia, Occasional Paper Series 02-A. Canberra: Department of Education, Science and Training, 2002.",Buku
"World Bank, Information and Communication Technologies: A World Bank group strategy. Washington, DC: World Bank, 2002.",Buku
"Australian Government Information Management Office, Meeting the Demand for ICT Skills in the Australian Public Service: Report of the ICT Professional and Skills Development Taskforce. Canberra: AGIMO, 2007.",Buku
"Australia. Attorney-Generals Department., Digital Agenda Review, 4 Vols. Canberra: Attorney- General's Department, 2003.",Buku
"K. E. Elliott and C.M. Greene, ""A local adaptive protocol,"" Argonne National Laboratory, Argonne, France, Tech. Rep. 916-1010-BB, 1997.",Buku
"K. Kimura and A. Lipeles, ""Fuzzy controller component,"" U. S. Patent 14,860,040, December 14, 1996.",Buku
"""Catalog No. MWM-1, Microwave components,"" M. W. Microwave Corp., Brooklyn, NY.",Buku
"Hewlett-Packard, ""Appl. note 935,"" pp. 25-29.",Buku
"Boyle, Jimmy. The Pain of Confinement: Prison Diaries. Canongate, 1984.",Buku
"Miller, Casey, and Kate Swift. Words and Women. Updated ed., HarperCollins Publishers, 1991.",Buku
"Dollimore, Johnathon, and Keith Hall, editors. Political Shakespeare: Essays in Cultural Materialism. 2nd ed., Cornell UP, 1994.",Buku
"MacIntosh, Angus, et al. A Linguistic Atlas of Late Mediaeval English. Aberdeen UP, 1987. 4 vols.",Buku
"Newcomb, Horace, editor. Television: The Critical View. 6th ed., Oxford UP, 2000.",Buku
"Chaucer, Geoffrey. The Works of Geoffrey Chaucer. 2nd ed., edited by F. N. Robinson, Oxford UP, 1957.",Buku
"Pilger, John. Distant Voices. Vintage, 1992.",Buku
"---. A Secret Country. Cape, 1989.",Buku
"Summerfield, Geoffrey. Voices: An Anthology of Poetry and Pictures. Penguin, 1968. 3 vols.",Buku
"Moliere. Five Plays: Moliere. Translated by John Wood, Penguin, 1953.",Buku
"Australian Copyright Council. Copyright for Book Publishers: A Practical Guide. ACC, 1997.",Buku
"Australian Film Commission. Film Agency Funding in Australia: Government Assistance to the Australian Film Industry Through Federal and State Agencies to June 2002. AFC, 2004.",Buku
"Australia, Council for the Arts. Writing: Protocols for Producing Indigenous Australian Writing. 2nd ed., ACA, 2007.",Buku
"Western Australia, Office of Multicultural Interests. The Western Australian Language Services Policy 2008. OMI, 2008.",Buku
"Boyd, Fenice B., and Chinwe H. Ikpeze. ""Navigating a Literacy Landscape: Teaching Conceptual Understanding With Multiple Text Types."" Journal of Literacy Research, vol. 39, no. 2, 2007, pp. 217-248.",Jurnal
"Hallin, Daniel C. ""Sound Bite News: Television Coverage of Elections, 1968-1988."" Journal of Communication, vol. 42, no.2, 1992, pp. 5-24.",Jurnal
"Kyratsis, A. ""Talk and Interaction Among Children and the Co-construction of Peer Groups and Peer Culture."" Annual Review of Anthropology, vol. 33, 2004, pp. 231-247.",Jurnal
"Yeh, Michelle. ""The 'Cult of Poetry' in Contemporary China."" Journal of Asian Studies, vol. 55, no. 1, 1996, pp. 51-80.",Jurnal
"""The Pain of Being a Caffeine Freak."" New Scientist, vol. 172, no. 2311, 6 Oct. 2001, p.27.",Jurnal
"Hanna, K. (2007). Adsorption of aromatic carboxylate compounds on the surface of synthesized iron oxide-coated sands. Applied Geochemistry, 22, 2045-2053.",Jurnal
